time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	knee_angle_r_beta	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	knee_angle_l_beta	ankle_angle_l	subtalar_angle_l	mtp_angle_l	L5_S1_Flex_Ext	L5_S1_Lat_Bending	L5_S1_axial_rotation	L4_L5_Flex_Ext	L4_L5_Lat_Bending	L4_L5_axial_rotation	L3_L4_Flex_Ext	L3_L4_Lat_Bending	L3_L4_axial_rotation	L2_L3_Flex_Ext	L2_L3_Lat_Bending	L2_L3_axial_rotation	L1_L2_Flex_Ext	L1_L2_Lat_Bending	L1_L2_axial_rotation	L1_T12_Flex_Ext	L1_T12_Lat_Bending	L1_T12_axial_rotation	Abs_r3	Abs_r2	Abs_r1	Abs_t1	Abs_t2	neck_flexion	neck_bending	neck_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	pro_sup_r	wrist_flex_r	wrist_dev_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	pro_sup_l	wrist_flex_l	wrist_dev_l
7.3448276	-623.04410043	551.65401783	1187.77787122	2.86509575	0.65866408	0.02751443	0.746836	-16.55064627	39.97393167	5.91459745	0.1032292	309.32940475	9.89388509	0	0.9396412	16.16921408	-69.97271214	6.8402267	0.11938448	-37.00586191	5.10957207	0	0.03155975	-2.18580541	108.71374485	0.05860962	-2.9071212	115.5083539	0.05184952	-5.31456728	115.5083539	0.03606964	-5.31456728	95.12452674	0.02930639	-4.4572944	88.32991769	0.01803324	-3.38581258	81.53530864	0.22542816	-24.72626799	604.63323473	0	0	13.93560729	37.23426834	44.86261487	370.21185347	179.46454512	-283.62781488	0.01012689	0.1036932	0	5.00000014	18.54089244	-166.86499481	188.9134973	0.01672542	0.18114858	0	5.00000014
7.3793103	-623.65346225	559.86229139	1306.15936654	2.92116993	0.51560936	-0.24688191	-7.0329002	12.39762812	-69.8966872	5.57171994	0.09724486	302.72337647	1.19240724	0	-6.10992283	-9.28296589	38.15129941	7.94802537	0.13871921	-33.70437036	10.98305503	0	4.93321499	-1.36165633	88.07162302	9.16147356	-1.81100292	93.57609946	8.10477891	-3.3107312	93.57609946	5.63817141	-3.3107312	77.06267014	4.58098344	-2.77668959	71.5581937	2.81883905	-2.10920565	66.05371726	35.23746137	-15.40332873	489.82794575	0	0	10.60297687	36.03886255	44.86253752	367.85465218	172.28296025	-283.87401551	0.00932368	0.0992914	0	5.00000014	14.57009487	-166.33062138	186.32602413	0.01533029	0.17619647	0	5.00000014
7.4137931	-620.63739672	560.73805246	1315.61164926	2.98101685	0.49352252	-0.25715776	-4.27909906	13.51674062	-69.97140735	5.78963314	0.10104816	297.10885385	-5.60427405	0	-5.26951443	-14.07359092	39.95352082	7.72443172	0.13481677	-31.43601412	15.63731876	0	5.54141849	-1.00044109	86.70599878	10.29096827	-1.33058666	92.12512371	9.10399643	-2.43247248	92.12512371	6.33328719	-2.43247248	75.86774894	5.14576121	-2.04009948	70.44862401	3.16636652	-1.54968326	65.02949909	39.5817981	-11.31718975	482.23275344	0	0	11.24386387	35.9117377	44.86474484	368.42766283	166.02007014	-286.29010539	0.00934313	0.10039822	0	5.00000014	14.47195263	-168.26267712	184.20933357	0.01550175	0.18114676	0	5.00000014
7.4482759	-619.60818605	560.6596237	1318.0326246	2.99852106	0.49104837	-0.24229773	-3.59425597	13.12197379	-69.97305891	5.79246281	0.10109755	294.28127952	-8.11864616	0	-5.15006412	-15.70177175	39.95736182	7.60821238	0.13278836	-31.10705732	16.58764182	0	5.62978845	-0.98467945	86.45539028	10.45508013	-1.30962367	91.85885218	9.24917945	-2.39414961	91.85885218	6.43428522	-2.39414961	75.6484665	5.22782156	-2.00795833	70.24500461	3.21686112	-1.52526846	64.84154271	40.21301593	-11.13889085	480.83894414	0	0	11.76260681	36.25603213	44.86539271	368.7025172	160.20859191	-288.69497798	0.00986541	0.10471922	0	5.00000014	15.43507079	-170.65593577	187.18148315	0.01665038	0.19889044	0	5.00000014
7.4827586	-619.3221711	560.24282232	1317.39891488	2.99238014	0.49959043	-0.22089209	-3.97155596	12.80560395	-69.9719641	5.80297317	0.10128099	294.42579968	-7.99396377	0	-5.69043298	-15.80611141	39.93242832	7.55528097	0.13186453	-33.25723704	14.66950213	0	5.50073971	-1.05079335	86.15771085	10.21542372	-1.39755515	91.54256778	9.03716527	-2.55489895	91.54256778	6.28679542	-2.55489895	75.38799699	5.1079869	-2.14277779	70.00314007	3.14312267	-1.6276789	64.61828314	39.29123368	-11.88678451	479.18334044	0	0	12.74768888	35.3577091	44.87231971	370.020898	155.2898332	-293.52611196	0.01077578	0.1113908	0	5.00000014	21.61226813	-174.16890673	207.88013076	0.01753277	0.22753844	0	5.00000014
7.5172414	-619.27053064	559.63775164	1315.55753044	2.98161646	0.51314915	-0.19799682	-4.71742976	12.62828106	-69.97004297	5.82920214	0.10173877	295.52817466	-7.07484019	0	-6.53650791	-15.23518039	39.72706151	7.51511963	0.13116358	-36.59647073	11.96004905	0	5.18674278	-1.13464197	85.00364924	9.63230001	-1.50907382	90.31637731	8.52129971	-2.75876849	90.31637731	5.92792832	-2.75876849	74.37819308	4.81640934	-2.31376191	69.065465	2.96370482	-1.75756041	63.75273693	37.04838498	-12.83529692	472.76479596	0	0	14.76996273	31.83370902	44.88636034	374.20460872	151.58928981	-303.85936581	0.01258422	0.12307832	0	5.00000014	31.88185292	-181.29206024	245.70637635	0.01593273	0.21995025	0	5.00000014
7.5517241	-619.12149889	558.92692768	1313.91655769	2.97122769	0.52582792	-0.17251567	-5.51602253	12.60976222	-69.96730366	5.85519061	0.10219235	296.28401877	-6.44866575	0	-7.45503722	-14.97774054	37.14895326	7.32187418	0.12779081	-41.49414936	9.788607	0	4.68782078	-0.93530027	80.45077986	8.70575197	-1.24394936	85.4789536	7.70162076	-2.27408909	85.4789536	5.35771037	-2.27408909	70.39443238	4.35311038	-1.90726432	65.36625864	2.67862079	-1.44878012	60.33808489	33.48463505	-10.58030376	447.44310234	0	0	22.17693721	22.57905411	44.89801303	385.11930724	154.78534701	-335.00362699	0.01640061	0.1474605	0	5.00000014	37.31908443	-200.53586323	287.31396975	0.016614	0.2220202	0	5.00000014
7.5862069	-616.79385686	558.08274266	1315.20618076	2.94124547	0.54597684	-0.15685393	-7.26735122	14.20155359	-69.96644395	5.98206071	0.10440666	296.66001624	-6.38789598	0	-9.2666537	-16.79738631	35.42430133	7.10639606	0.12403001	-46.89707631	7.57259136	0	1.5614163	-0.46554263	52.22064562	2.89970622	-0.6191717	55.48443597	2.56525085	-1.13192035	55.48443597	1.78454269	-1.13192035	45.69306492	1.44993118	-0.94933453	42.42927457	0.89219328	-0.72112553	39.16548422	11.15304052	-5.26631133	290.43556475	0	0	28.6321817	50.75406303	44.97168919	343.06177931	196.05165158	-488.88807393	0.01036765	0.11060324	0	5.00000014	-17.73388637	-191.74268854	302.13687155	58.58927841	8.99772466	0	5.00000014
7.6206897	-616.93262002	557.32019558	1312.29023924	2.93245959	0.54492315	-0.13744308	-8.37235192	13.55860039	-69.92322828	5.96019266	0.10402499	297.11516817	-5.80894271	0	-10.49163846	-15.8460802	31.75361044	7.01195231	0.12238165	-50.29756996	5.92128474	0	1.61215661	-0.48650914	53.98961624	2.99393603	-0.64705716	57.36396725	2.64861209	-1.18289833	57.36396725	1.84253379	-1.18289833	47.24091421	1.49704862	-0.99208945	43.86656319	0.92118628	-0.75360266	40.49221218	11.51547342	-5.50348873	300.27404862	0	0	28.62006415	47.8207442	44.9491714	345.04251849	201.70039083	-481.25923674	0.02174708	0.2241952	0	5.00000014	-16.2979284	-191.91200421	310.32228728	54.82308479	62.02931363	0	5.00000014
7.6551724	-617.56472631	555.68416736	1302.12923	2.96902197	0.51004878	-0.10760922	-11.31247449	10.95830229	-69.88901138	5.4574519	0.0952505	297.43784169	-4.07263462	0	-13.23352674	-11.55345534	24.28220258	7.14813492	0.12475849	-50.12237839	5.74361253	0	1.38224581	-0.4642338	55.61196833	2.56696869	-0.61743095	59.08771635	2.27089164	-1.12873805	59.08771635	1.57976873	-1.12873805	48.66047228	1.28355346	-0.94666556	45.18472426	0.78981525	-0.71909815	41.70897624	9.87324358	-5.25150555	309.29708424	0	0	28.63252767	46.32399335	44.97141842	343.47357563	203.23573528	-482.04241037	0.01372954	0.13704898	0	5.00000014	-18.7087119	-195.56241613	294.46105839	49.80594946	2.60838517	0	5.00000014
