Time,Pelvis,Right Hand,Left Hand,Head,Right Foot,Left Foot
211,[-0.01614068 -0.5683089   1.        ],[-0.0320977  -0.16571617  1.4531955 ],[-0.36998338 -0.47368866  1.4088329 ],[-0.02273551 -0.47862065  1.7358718 ],[ 0.11453564 -0.6205858   0.14468896],[-0.04093269 -0.72121346  0.12747693]
212,[-0.02665941 -0.58032376  1.        ],[-0.11571049 -0.17210492  1.4461107 ],[-0.37890446 -0.51591444  1.3736894 ],[-0.04462053 -0.48191765  1.7287898 ],[ 0.0447042  -0.58682823  0.13141137],[-0.06031027 -0.7256508   0.13772547]
213,[-0.03638712 -0.58052903  1.        ],[-0.18272525 -0.16674227  1.4365172 ],[-0.39504632 -0.50796026  1.3559225 ],[-0.06444749 -0.4735703   1.7267318 ],[-0.03296061 -0.5413122   0.13145304],[-0.08829571 -0.7051304   0.14410281]
214,[-0.04536424 -0.59496653  1.        ],[-0.22674768 -0.19044255  1.4345716 ],[-0.38654602 -0.52808654  1.3393745 ],[-0.08021673 -0.50357026  1.7246773 ],[-0.11609649 -0.5845743   0.1266613 ],[-0.09941635 -0.7305174   0.15018177]
215,[-0.0533749 -0.607741   1.       ],[-0.2709132  -0.25282308  1.4449202 ],[-0.37473792 -0.5849515   1.3468496 ],[-0.09754681 -0.5224144   1.7235452 ],[-0.16876993 -0.6175123   0.11738956],[-0.10301881 -0.7840299   0.14894772]
216,[-0.0606643  -0.61906624  1.        ],[-0.33449394 -0.27221385  1.4251888 ],[-0.37176257 -0.57915866  1.31379   ],[-0.11165142 -0.53660095  1.7196332 ],[-0.20933135 -0.651705    0.12247199],[-0.10899825 -0.8366264   0.15002811]
217,[-0.06710949 -0.63408893  1.        ],[-0.39010075 -0.28601182  1.4181247 ],[-0.36806017 -0.57548875  1.3146996 ],[-0.12865464 -0.5493732   1.7218404 ],[-0.21401744 -0.6811815   0.12852824],[-0.09428008 -0.8978314   0.17747092]
218,[-0.07313652 -0.6498108   1.        ],[-0.41267133 -0.2707493   1.4095333 ],[-0.4329887 -0.678731   1.3740163],[-0.14170381 -0.54759353  1.7204524 ],[-0.20973592 -0.7031366   0.13552201],[-0.09027905 -0.9117084   0.17286265]
219,[-0.07911645 -0.6604333   1.        ],[-0.477377   -0.27166504  1.4095137 ],[-0.45820707 -0.7040274   1.313938  ],[-0.14727071 -0.56065714  1.7159401 ],[-0.21234976 -0.72189784  0.13449079],[-0.09716488 -0.9349401   0.17026979]
220,[-0.08495928 -0.675674    1.        ],[-0.51455367 -0.34226742  1.400351  ],[-0.43615693 -0.65212613  1.2786863 ],[-0.1638415 -0.5723946  1.7065201],[-0.21536203 -0.7453416   0.134054  ],[-0.10228505 -0.956695    0.16939855]
221,[-0.09084555 -0.6815522   1.        ],[-0.56158906 -0.37614387  1.3779961 ],[-0.47508448 -0.6599459   1.2893462 ],[-0.18954557 -0.59655446  1.714011  ],[-0.22521912 -0.74373794  0.14590943],[-0.11956968 -0.95148635  0.18376362]
222,[-0.0964068 -0.6769286  1.       ],[-0.61067116 -0.39970148  1.3597213 ],[-0.49438325 -0.62253404  1.2897811 ],[-0.20591551 -0.59380424  1.7034853 ],[-0.22094835 -0.73583263  0.13777137],[-0.12720253 -0.9187575   0.16762215]
223,[-0.10185213 -0.66412234  1.        ],[-0.6367934  -0.42555705  1.3541837 ],[-0.50787884 -0.6223289   1.2889094 ],[-0.22310688 -0.5989739   1.7088584 ],[-0.21889918 -0.7165078   0.13146877],[-0.14392349 -0.86841226  0.15673351]
224,[-0.10726682 -0.6466337   1.        ],[-0.6605301  -0.47626162  1.3444577 ],[-0.50618345 -0.5955537   1.2970067 ],[-0.23579246 -0.5893997   1.712818  ],[-0.22063687 -0.6912589   0.12577027],[-0.16513385 -0.8496814   0.1507662 ]
225,[-0.11275341 -0.6339168   1.        ],[-0.65655816 -0.54362327  1.3485441 ],[-0.48452678 -0.6212141   1.3048364 ],[-0.24603324 -0.5981133   1.7050767 ],[-0.22263287 -0.67987543  0.1299541 ],[-0.21594888 -0.8550417   0.16881824]
226,[-0.11838931 -0.61352307  1.        ],[-0.6708094 -0.5987328  1.3329437],[-0.4885256  -0.61805177  1.3116796 ],[-0.2543115 -0.5938361  1.7007362],[-0.22039314 -0.65447605  0.12530994],[-0.2205022  -0.84487414  0.1754626 ]
227,[-0.12433714 -0.5861392   1.        ],[-0.6744476 -0.6287302  1.3294419],[-0.37932736 -0.7178199   1.2080853 ],[-0.2578041 -0.5856557  1.6995449],[-0.20893914 -0.6465148   0.10693872],[-0.22492333 -0.815724    0.17020655]
228,[-0.13059811 -0.5662756   1.        ],[-0.67459637 -0.64419     1.3260026 ],[-0.37251264 -0.7056863   1.1938727 ],[-0.2691484 -0.5613962  1.6966085],[-0.19840887 -0.6269384   0.10261571],[-0.24968408 -0.81113344  0.1741125 ]
229,[-0.13700779 -0.54774153  1.        ],[-0.66678774 -0.67634714  1.3210194 ],[-0.34548643 -0.7448224   1.1519858 ],[-0.26878634 -0.55164707  1.6928672 ],[-0.17829168 -0.62819576  0.09720975],[-0.2591511  -0.7977885   0.15958852]
230,[-0.14384037 -0.5265553   1.        ],[-0.64954525 -0.7058133   1.3037001 ],[-0.29662472 -0.7707161   1.0674078 ],[-0.27180842 -0.5384375   1.6926734 ],[-0.1810545  -0.5859308   0.09728247],[-0.2715862  -0.77938366  0.16162974]
231,[-0.15079202 -0.51299804  1.        ],[-0.6107346 -0.703281   1.333359 ],[-0.3373246 -0.7229416  1.1630144],[-0.27705154 -0.5188363   1.6909177 ],[-0.1869998  -0.5557731   0.10346657],[-0.27027106 -0.75511175  0.16470695]
232,[-0.1577178 -0.5022051  1.       ],[-0.6099862 -0.7295274  1.2947221],[-0.31592909 -0.7700619   1.212729  ],[-0.28485915 -0.5034124   1.6938562 ],[-0.2043324  -0.5400068   0.09196728],[-0.26005483 -0.74954337  0.16595006]
233,[-0.16442584 -0.48772445  1.        ],[-0.59686345 -0.7215556   1.3028389 ],[-0.29592347 -0.77292967  1.2520016 ],[-0.28257933 -0.4797339   1.699359  ],[-0.21912622 -0.52326703  0.09621918],[-0.23527224 -0.761462    0.17236704]
234,[-0.17093849 -0.4963256   1.        ],[-0.55471915 -0.7329055   1.3124635 ],[-0.3154894  -0.76374865  1.2774726 ],[-0.28210136 -0.47484493  1.7041392 ],[-0.2255606  -0.5463226   0.11164671],[-0.2025155  -0.76924837  0.17207968]
235,[-0.1772408 -0.4795552  1.       ],[-0.50889486 -0.75644726  1.3028929 ],[-0.27973175 -0.7818441   1.2961757 ],[-0.282232  -0.4576041  1.7018714],[-0.23637539 -0.58171934  0.13151956],[-0.20047277 -0.7156071   0.16937023]
236,[-0.18333037 -0.46104994  1.        ],[-0.4406305 -0.7345584  1.3284197],[-0.24558511 -0.7715023   1.3347294 ],[-0.28155047 -0.45097402  1.7031741 ],[-0.27373174 -0.58303815  0.13459384],[-0.19709247 -0.675142    0.14475924]
237,[-0.18910046 -0.43891266  1.        ],[-0.39949352 -0.7087608   1.3654472 ],[-0.2066697  -0.73577267  1.3657603 ],[-0.27479422 -0.43779704  1.6978226 ],[-0.27904612 -0.6287052   0.1373657 ],[-0.19267642 -0.6220166   0.1282081 ]
238,[-0.19457987 -0.4167017   1.        ],[-0.35759363 -0.6855378   1.360471  ],[-0.19503425 -0.73377323  1.3527869 ],[-0.2630145  -0.43197092  1.6945329 ],[-0.28129646 -0.62102747  0.13120216],[-0.17547716 -0.5910537   0.12568098]
239,[-0.19975467 -0.406278    1.        ],[-0.35926542 -0.6786865   1.3534894 ],[-0.16340782 -0.7398689   1.3393068 ],[-0.2623111  -0.43444443  1.6873183 ],[-0.28414747 -0.6214559   0.1434651 ],[-0.16294336 -0.57387924  0.12188256]
240,[-0.20469122 -0.39126447  1.        ],[-0.33478543 -0.67349166  1.3431234 ],[-0.1517977 -0.701168   1.3593276],[-0.2565595  -0.42086896  1.685055  ],[-0.28188458 -0.63861793  0.15434855],[-0.15480958 -0.53019947  0.11968046]
241,[-0.20954205 -0.37079722  1.        ],[-0.29507115 -0.6613446   1.3257544 ],[-0.06744872 -0.6818536   1.3555422 ],[-0.24215966 -0.40623814  1.6840982 ],[-0.26008883 -0.6483992   0.1741218 ],[-0.133998   -0.49817544  0.12137717]
242,[-0.21448924 -0.35417095  1.        ],[-0.27917615 -0.64620537  1.3060086 ],[ 0.07508202 -0.65314215  1.3274716 ],[-0.23155135 -0.380572    1.6856868 ],[-0.23308456 -0.63275033  0.17951065],[-0.11201748 -0.45727077  0.12006897]
243,[-0.21929003 -0.33123177  1.        ],[-0.250006  -0.6308078  1.3066097],[ 0.09129553 -0.61535925  1.3488209 ],[-0.22385511 -0.3614331   1.6866491 ],[-0.2207398  -0.63694423  0.19111407],[-0.09969749 -0.4198622   0.12175202]
244,[-0.22402672 -0.30681238  1.        ],[-0.22260326 -0.597382    1.3125648 ],[ 0.09931649 -0.5283075   1.362896  ],[-0.20967156 -0.33445773  1.696367  ],[-0.19830479 -0.6507011   0.21357793],[-0.06587481 -0.3801354   0.12525976]
245,[-0.22914512 -0.3009186   1.        ],[-0.16247281 -0.5794236   1.3213544 ],[ 0.12744044 -0.47834036  1.3762968 ],[-0.19847089 -0.31975088  1.7030203 ],[-0.17643563 -0.66858     0.22543472],[-0.0494102  -0.37799403  0.1223374 ]
246,[-0.23451138 -0.29937226  1.        ],[-0.07193856 -0.55235475  1.27375   ],[ 0.14119685 -0.45164698  1.3732331 ],[-0.18896401 -0.3056082   1.6979781 ],[-0.1559065  -0.65539783  0.24946314],[-0.02163056 -0.3245675   0.12426466]
247,[-0.2399541  -0.28840664  1.        ],[-0.07133892 -0.5382807   1.2020068 ],[ 0.15563492 -0.3803812   1.3778207 ],[-0.1780118 -0.3041111  1.6971812],[-0.14601189 -0.6509054   0.2436288 ],[-0.014806   -0.28475317  0.11499602]
248,[-0.24546452 -0.2858838   1.        ],[ 0.00985951 -0.47191492  1.262724  ],[ 0.15518223 -0.36334172  1.3669363 ],[-0.16738157 -0.28553095  1.6977304 ],[-0.13861354 -0.63947266  0.23385084],[-0.01446747 -0.26813492  0.11050975]
249,[-0.25093406 -0.27809542  1.        ],[ 0.07804646 -0.3944798   1.3162977 ],[ 0.14233215 -0.313536    1.3666883 ],[-0.16634005 -0.26709265  1.6913965 ],[-0.11810069 -0.61265177  0.2175712 ],[-0.02429114 -0.260535    0.10946602]
250,[-0.25639385 -0.26463288  1.        ],[ 0.08273911 -0.3425808   1.3411399 ],[ 0.13140981 -0.27492034  1.3797934 ],[-0.16506739 -0.22830223  1.694851  ],[-0.10969635 -0.5551125   0.20226753],[-0.04912908 -0.23759018  0.10968447]
251,[-0.26180604 -0.2587523   1.        ],[ 0.09854357 -0.26869762  1.333079  ],[ 0.12169014 -0.24123436  1.38149   ],[-0.1723098  -0.22722119  1.6932436 ],[-0.11708635 -0.51077175  0.18467653],[-0.09881856 -0.22714496  0.11537939]
252,[-0.26712582 -0.25021064  1.        ],[ 0.08400759 -0.20538062  1.3305987 ],[ 0.09733552 -0.21763903  1.3803803 ],[-0.17473519 -0.20587379  1.6793811 ],[-0.11620729 -0.5085831   0.17523772],[-0.14417125 -0.21461558  0.1098758 ]
253,[-0.27219373 -0.24860413  1.        ],[ 0.0277609  -0.14718123  1.2207665 ],[ 0.08627576 -0.16556741  1.3918462 ],[-0.18679544 -0.19115086  1.6754053 ],[-0.1230059  -0.50512165  0.17593652],[-0.1806395  -0.23287489  0.11253852]
254,[-0.2771853  -0.24251248  1.        ],[-0.00359902 -0.12241371  1.2008165 ],[ 0.07749172 -0.10472198  1.4002001 ],[-0.1927304  -0.18490006  1.6843431 ],[-0.11701065 -0.4725337   0.16870797],[-0.21589348 -0.2164212   0.10789233]
255,[-0.28211114 -0.23639543  1.        ],[-0.00230005 -0.11191787  1.2094221 ],[ 0.05085317 -0.07192518  1.4133517 ],[-0.20151876 -0.17293133  1.6924882 ],[-0.12392041 -0.44499943  0.16431928],[-0.24760118 -0.22851713  0.11426282]
256,[-0.28702733 -0.22293176  1.        ],[ 0.01196147 -0.1056204   1.2219545 ],[ 0.02090533 -0.0355279   1.4188504 ],[-0.20903505 -0.15922715  1.6999005 ],[-0.12601368 -0.39444166  0.1571393 ],[-0.2725879  -0.20373507  0.13121963]
257,[-0.2917029  -0.21227404  1.        ],[ 0.01557898 -0.12056968  1.2167171 ],[-0.01005253  0.00549665  1.4200567 ],[-0.21478975 -0.15367916  1.7003633 ],[-0.13864954 -0.36595246  0.14440262],[-0.3107874  -0.2171304   0.11787271]
258,[-0.29596424 -0.2083822   1.        ],[ 0.02689565 -0.14633371  1.2276812 ],[-0.04027178  0.03702085  1.4339582 ],[-0.2231064  -0.14616181  1.7040002 ],[-0.15501441 -0.35591203  0.14158148],[-0.33493817 -0.2356834   0.12769157]
259,[-0.29985437 -0.20090675  1.        ],[ 0.04026274 -0.1314826   1.2253704 ],[-0.05347128  0.04309403  1.4459102 ],[-0.2179373 -0.1434524  1.7067889],[-0.16044779 -0.3421209   0.14137447],[-0.34895554 -0.2417978   0.13329208]
260,[-0.30331287 -0.20864537  1.        ],[ 0.05763351 -0.17293563  1.2331903 ],[-0.07491364  0.08872119  1.4315333 ],[-0.22557333 -0.14862677  1.7108018 ],[-0.17300408 -0.3264033   0.1388734 ],[-0.35176957 -0.25336698  0.13484174]
261,[-0.3064214  -0.19942002  1.        ],[ 0.06589492 -0.1742721   1.2320776 ],[-0.0867409   0.14356168  1.4189177 ],[-0.2302192 -0.1392939  1.7108946],[-0.18524379 -0.32129815  0.13247794],[-0.35137457 -0.25438383  0.1310305 ]
262,[-0.30904692 -0.19441272  1.        ],[ 0.07272294 -0.17574652  1.2346861 ],[-0.12330733  0.21221922  1.4109054 ],[-0.2364399  -0.12669529  1.7137089 ],[-0.18320122 -0.3039888   0.1289236 ],[-0.34423527 -0.24922551  0.12911355]
263,[-0.31111556 -0.20070797  1.        ],[ 0.08323217 -0.18405557  1.2469461 ],[-0.15834597  0.2036928   1.4045374 ],[-0.2386411  -0.12539607  1.7132174 ],[-0.17804208 -0.30422193  0.12934119],[-0.3327109  -0.25199693  0.12477726]
264,[-0.3128891  -0.19172904  1.        ],[ 0.08890942 -0.16696641  1.2484851 ],[-0.18375787  0.21107373  1.4081036 ],[-0.24053803 -0.11136148  1.7121394 ],[-0.17685927 -0.2888132   0.1294558 ],[-0.32999873 -0.24435124  0.12158328]
265,[-0.31401253 -0.20133148  1.        ],[ 0.0924008  -0.15875362  1.2583449 ],[-0.21600294  0.20338865  1.4019336 ],[-0.2417881  -0.12104618  1.7133491 ],[-0.17886807 -0.29095507  0.12369943],[-0.33124572 -0.25478566  0.11474371]
266,[-0.31490642 -0.20735173  1.        ],[ 0.08339024 -0.14395015  1.2547319 ],[-0.24721871  0.21469219  1.3890965 ],[-0.24520133 -0.126307    1.712367  ],[-0.18420145 -0.2848317   0.12100422],[-0.3270979  -0.25006348  0.11498302]
267,[-0.3156092  -0.21050031  1.        ],[ 0.08750561 -0.12778588  1.2597753 ],[-0.2848536   0.21201377  1.3893166 ],[-0.24487841 -0.1331221   1.7099537 ],[-0.17642914 -0.2798081   0.12431669],[-0.31266525 -0.25543636  0.11303282]
268,[-0.3162666 -0.2103419  1.       ],[ 0.08740158 -0.11200658  1.2575485 ],[-0.3110234   0.21268061  1.3860104 ],[-0.2521679  -0.13194355  1.7061906 ],[-0.17031999 -0.26513758  0.13060087],[-0.3093846  -0.25659028  0.11780214]
269,[-0.31686294 -0.20975599  1.        ],[ 0.076369   -0.07140848  1.2590308 ],[-0.33543172  0.2243143   1.3787241 ],[-0.2599955  -0.12990806  1.7047832 ],[-0.16832942 -0.26655933  0.13193697],[-0.30301142 -0.24917576  0.11597973]
270,[-0.31746647 -0.20723046  1.        ],[ 0.08591826 -0.04933795  1.2629769 ],[-0.3519325   0.20298217  1.3835497 ],[-0.26251566 -0.12505205  1.7059797 ],[-0.18319663 -0.27131578  0.13030106],[-0.30861014 -0.24567004  0.11709881]
271,[-0.3179271  -0.20177814  1.        ],[ 0.07100458 -0.00445137  1.270555  ],[-0.38156408  0.2010757   1.3862358 ],[-0.26999143 -0.12207929  1.707063  ],[-0.1973681  -0.27056834  0.12879854],[-0.3117073  -0.22645995  0.11838394]
272,[-0.3183397  -0.19407287  1.        ],[0.06810297 0.03604254 1.2732265 ],[-0.42390457  0.20377764  1.3860672 ],[-0.27864408 -0.10842898  1.7147684 ],[-0.20759706 -0.2640141   0.12543678],[-0.31658655 -0.21006891  0.11682934]
273,[-0.3186169  -0.19526662  1.        ],[0.05981332 0.07118908 1.2723787 ],[-0.44768608  0.20151006  1.387697  ],[-0.28506926 -0.10427996  1.7176988 ],[-0.21489759 -0.27973238  0.12449396],[-0.3251785  -0.20418526  0.11521465]
274,[-0.3189401  -0.19450502  1.        ],[0.05348393 0.11140908 1.2849269 ],[-0.47822997  0.18079342  1.4047965 ],[-0.29435578 -0.10538958  1.7231817 ],[-0.22488932 -0.28124863  0.12507492],[-0.33837706 -0.20188408  0.11206824]
275,[-0.31915516 -0.19649035  1.        ],[0.03746409 0.13737303 1.3101155 ],[-0.5094532   0.16787678  1.4104356 ],[-0.30134988 -0.10902553  1.7285817 ],[-0.23250487 -0.27724653  0.12820399],[-0.3495438  -0.1969158   0.11617911]
276,[-0.31934416 -0.19857742  1.        ],[0.01417021 0.15607642 1.3372102 ],[-0.5381317   0.14689194  1.4157802 ],[-0.30738834 -0.10779848  1.7310127 ],[-0.24355581 -0.27650264  0.12215257],[-0.36566162 -0.19279994  0.11168623]
277,[-0.3197768 -0.2031847  1.       ],[-0.00696641  0.15488991  1.364059  ],[-0.57199305  0.12975958  1.4189616 ],[-0.3127487  -0.10866902  1.7302362 ],[-0.25672498 -0.27373728  0.12242156],[-0.37764695 -0.18868223  0.11414468]
278,[-0.32030204 -0.21234158  1.        ],[-0.04494559  0.15878674  1.3599781 ],[-0.6109756   0.10253474  1.4088495 ],[-0.32415718 -0.12048844  1.724747  ],[-0.268628   -0.27973643  0.1222719 ],[-0.39193022 -0.19116762  0.11672515]
279,[-0.32097372 -0.21098253  1.        ],[-0.08607598  0.1727688   1.3620709 ],[-0.6370023   0.06193099  1.4152068 ],[-0.3317781  -0.11636617  1.7240525 ],[-0.2736018  -0.28175393  0.1247133 ],[-0.40261525 -0.19617257  0.1157859 ]
280,[-0.32185113 -0.20565554  1.        ],[-0.1596629   0.20301828  1.3641729 ],[-0.6945018  0.0077813  1.4160585],[-0.34214687 -0.12394366  1.7269471 ],[-0.30126038 -0.24705508  0.1251924 ],[-0.44512653 -0.20755127  0.12433636]
281,[-0.3225379  -0.19887409  1.        ],[-0.19501466  0.20334437  1.3685994 ],[-7.1274644e-01 -1.3593175e-03  1.4089565e+00],[-0.34938425 -0.11133603  1.7235425 ],[-0.30800593 -0.23222682  0.12722194],[-0.44753715 -0.23462495  0.12391549]
282,[-0.323013   -0.20209081  1.        ],[-0.25620034  0.19469146  1.38658   ],[-0.71164495 -0.02154227  1.3921168 ],[-0.34727344 -0.11486217  1.7202668 ],[-0.33032545 -0.25827262  0.11977506],[-0.45164713 -0.28731427  0.11880076]
283,[-0.32319525 -0.20812748  1.        ],[-0.3007135   0.18635227  1.4011772 ],[-0.7086537  -0.05219398  1.3914118 ],[-0.34504864 -0.1187769   1.7207708 ],[-0.3328005  -0.25545105  0.1205284 ],[-0.45840982 -0.32358894  0.1256718 ]
284,[-0.32330108 -0.2128351   1.        ],[-0.33879966  0.18116954  1.4001541 ],[-0.70926434 -0.09838542  1.3838935 ],[-0.3519666  -0.11997214  1.7161202 ],[-0.34095272 -0.2518095   0.10923886],[-0.4541794  -0.35649422  0.12690026]
285,[-0.3232618  -0.20454365  1.        ],[-0.38040495  0.1890415   1.4049376 ],[-0.7090129  -0.13189548  1.3753384 ],[-0.35031986 -0.10945094  1.7123508 ],[-0.34776843 -0.2332477   0.1118713 ],[-0.43888113 -0.39982492  0.14250898]
286,[-0.32285702 -0.20437896  1.        ],[-0.40943265  0.19979912  1.3913562 ],[-0.70176136 -0.17445648  1.3669504 ],[-0.35063225 -0.11263186  1.7079613 ],[-0.3516927  -0.21618909  0.10816669],[-0.40938988 -0.43855125  0.15159863]
287,[-0.32220387 -0.1948031   1.        ],[-0.4422625   0.23560818  1.3942994 ],[-0.6902042  -0.16525368  1.3588376 ],[-0.34967938 -0.1078674   1.7091024 ],[-0.36321408 -0.20049642  0.09580654],[-0.39867815 -0.45029473  0.154437  ]
288,[-0.32131538 -0.18955183  1.        ],[-0.45489156  0.26551837  1.4199045 ],[-0.68159515 -0.1704598   1.35783   ],[-0.3430911 -0.0906859  1.7052522],[-0.36501348 -0.19027358  0.09734911],[-0.36614054 -0.44705755  0.15511394]
289,[-0.32008573 -0.18296899  1.        ],[-0.48563924  0.24586599  1.4279858 ],[-0.65436614 -0.15629722  1.3611302 ],[-0.3455773  -0.09391018  1.7105143 ],[-0.38204008 -0.19467051  0.08833343],[-0.37582934 -0.4556267   0.14778322]
290,[-0.31850088 -0.1695151   1.        ],[-0.53817755  0.1923162   1.4484771 ],[-0.639005   -0.14909598  1.3560805 ],[-0.35339874 -0.08858392  1.7164364 ],[-0.39844933 -0.16387817  0.08792627],[-0.39367142 -0.42278013  0.1394524 ]
291,[-0.31670094 -0.15667921  1.        ],[-0.5891331   0.17475903  1.4335475 ],[-0.60710347 -0.08501142  1.3541437 ],[-0.35766295 -0.07368517  1.7161583 ],[-0.40839314 -0.1446802   0.10141933],[-0.3800339  -0.3704064   0.14272952]
292,[-0.31462267 -0.13920014  1.        ],[-0.6206898   0.18147464  1.4300354 ],[-0.62198454 -0.12983112  1.3909936 ],[-0.36045656 -0.06087314  1.7156343 ],[-0.40352193 -0.11740189  0.12031847],[-0.38256714 -0.30860943  0.14332414]
293,[-0.31238577 -0.13642856  1.        ],[-0.65267104  0.17735258  1.4252833 ],[-0.5913756  -0.14197668  1.2920634 ],[-0.36375618 -0.05783525  1.7106109 ],[-0.41497186 -0.11525998  0.11439377],[-0.3797661  -0.30812368  0.1362136 ]
294,[-0.30996123 -0.13839276  1.        ],[-0.69643223  0.12611948  1.4076952 ],[-0.5943447  -0.15595646  1.4002956 ],[-0.36887416 -0.05523188  1.7057285 ],[-0.4374523  -0.13629682  0.1178894 ],[-0.3999593  -0.31521899  0.12779951]
295,[-0.30739236 -0.136322    1.        ],[-0.7289354   0.11696012  1.3958423 ],[-0.5303477  -0.16604213  1.3674482 ],[-0.37335017 -0.05495875  1.705071  ],[-0.4605     -0.14677565  0.11434573],[-0.40988818 -0.3308156   0.12216109]
296,[-0.30454656 -0.16213045  1.        ],[-0.75864047  0.04642972  1.3774222 ],[-0.5400754  -0.17905018  1.3655474 ],[-0.38117763 -0.07194445  1.7025598 ],[-0.48152724 -0.16774282  0.11406451],[-0.40903234 -0.36925957  0.12385756]
297,[-0.30148795 -0.1690914   1.        ],[-0.7809223   0.02534526  1.3683373 ],[-0.5868093  -0.20926708  1.3491563 ],[-0.38953507 -0.09008688  1.7024043 ],[-0.49107903 -0.17573518  0.11454546],[-0.4015941  -0.38742238  0.13423407]
298,[-0.29822645 -0.1830161   1.        ],[-0.79984415 -0.01507006  1.3558586 ],[-0.5943074  -0.25471863  1.2850796 ],[-0.3934596  -0.12542634  1.7077146 ],[-0.49473223 -0.19555329  0.11728001],[-0.39027938 -0.42764708  0.14092642]
299,[-0.2943833  -0.19910026  1.        ],[-0.81436247 -0.0647828   1.346722  ],[-0.587491   -0.30338848  1.2680676 ],[-0.4012675  -0.14537442  1.7083194 ],[-0.50733054 -0.2174356   0.11765081],[-0.38462856 -0.46293485  0.14445817]
300,[-0.29011074 -0.21196306  1.        ],[-0.8256349 -0.1155963  1.345628 ],[-0.5801477 -0.3426087  1.247464 ],[-0.40756685 -0.17144501  1.711091  ],[-0.51923245 -0.24869692  0.12093413],[-0.3825162  -0.47881842  0.14234948]
301,[-0.28524178 -0.21040553  1.        ],[-0.83398    -0.15409899  1.3412602 ],[-0.50187063 -0.39758897  1.1320368 ],[-0.40884086 -0.18581784  1.7087188 ],[-0.52679   -0.2778263  0.1251415],[-0.35901195 -0.48157847  0.13742769]
302,[-0.279782   -0.19710355  1.        ],[-0.83545685 -0.1964805   1.3462405 ],[-0.46241942 -0.4110757   1.1236405 ],[-0.40191388 -0.16849302  1.708654  ],[-0.52362955 -0.27973557  0.12938023],[-0.33769783 -0.45666683  0.13730615]
303,[-0.2736935  -0.17628318  1.        ],[-0.8253866  -0.22107655  1.3530569 ],[-0.4492673 -0.4201079  1.1535757],[-0.3880873  -0.15000814  1.7135935 ],[-0.50397897 -0.30017215  0.13281262],[-0.31290257 -0.43479568  0.13594973]
304,[-0.267174   -0.16683315  1.        ],[-0.8172055  -0.26595053  1.3506262 ],[-0.43881238 -0.44284686  1.1752282 ],[-0.38459283 -0.15729009  1.7112579 ],[-0.50171065 -0.32210895  0.14397264],[-0.30666196 -0.42787144  0.13555646]
305,[-0.2601045  -0.16067423  1.        ],[-0.79843426 -0.31695974  1.3486059 ],[-0.41207716 -0.47070432  1.2325287 ],[-0.3706107  -0.15901186  1.7102876 ],[-0.49278265 -0.35109603  0.15268785],[-0.28389353 -0.42111552  0.13921022]
306,[-0.2527067  -0.16047786  1.        ],[-0.77570134 -0.34614903  1.3441542 ],[-0.37694082 -0.48914582  1.2780873 ],[-0.3553988  -0.15729956  1.7065388 ],[-0.4858296  -0.36940402  0.15339124],[-0.26206157 -0.40698832  0.1436832 ]
307,[-0.24492942 -0.1544425   1.        ],[-0.7571203  -0.36055467  1.348031  ],[-0.33156502 -0.49474618  1.3062408 ],[-0.33915022 -0.15295191  1.7072959 ],[-0.45368227 -0.3714392   0.14407259],[-0.2378992  -0.37992904  0.1392355 ]
308,[-0.23680907 -0.14420576  1.        ],[-0.7314994  -0.38561898  1.3451807 ],[-0.27356648 -0.50331837  1.3132598 ],[-0.3196242  -0.14680775  1.706632  ],[-0.4322887  -0.3626545   0.13997912],[-0.21123214 -0.357531    0.13518393]
309,[-0.22855195 -0.1332436   1.        ],[-0.70301145 -0.393042    1.348357  ],[-0.22463031 -0.4860448   1.3450681 ],[-0.2988717  -0.12061445  1.7099882 ],[-0.39172578 -0.35536364  0.13547009],[-0.18238221 -0.33335462  0.13197386]
310,[-0.22015053 -0.12383659  1.        ],[-0.65097547 -0.4015531   1.3670685 ],[-0.20705223 -0.46113855  1.3509265 ],[-0.27812532 -0.10378702  1.7074648 ],[-0.3618948  -0.36981875  0.12869686],[-0.16238421 -0.33427566  0.13425207]
311,[-0.21161288 -0.10862152  1.        ],[-0.6036545  -0.39688292  1.3772103 ],[-0.19963449 -0.41592053  1.3686349 ],[-0.26177812 -0.07801763  1.7076895 ],[-0.33812353 -0.34803203  0.13261318],[-0.14729245 -0.3139818   0.13684899]
312,[-0.20309566 -0.09754625  1.        ],[-0.564101   -0.38978073  1.3824228 ],[-0.15759991 -0.4059733   1.3818817 ],[-0.24284482 -0.06087193  1.7065985 ],[-0.31697345 -0.33265933  0.13394642],[-0.13294193 -0.2882205   0.13655245]
313,[-0.19459319 -0.08557931  1.        ],[-0.53391904 -0.38949707  1.3836783 ],[ 0.00602844 -0.43334892  1.3721926 ],[-0.22325455 -0.05575511  1.705528  ],[-0.29182935 -0.32092598  0.13377303],[-0.12046318 -0.2649645   0.13643408]
314,[-0.18625176 -0.06836729  1.        ],[-0.42567226 -0.3475944   1.393604  ],[ 0.04905885 -0.35809818  1.3854066 ],[-0.20399505 -0.0498421   1.6996806 ],[-0.26984566 -0.3084649   0.13576567],[-0.11145632 -0.2498173   0.1358816 ]
