Time,Pelvis,Right Hand,Left Hand,Head,Right Foot,Left Foot
35,[-0.00909784  0.10535201  1.        ],[0.38588062 0.31164548 1.5757635 ],[-0.25919902  0.5646529   1.4579256 ],[-0.03665434  0.15655293  1.740446  ],[0.08995001 0.03228392 0.11551517],[-0.04130733  0.09193435  0.12013602]
36,[-0.00777597  0.10792249  1.        ],[0.38598448 0.3175465  1.5688429 ],[-0.25243703  0.55828416  1.4529837 ],[-0.03534639  0.16467834  1.7384645 ],[0.09491203 0.03846907 0.11350751],[-0.03754155  0.09130489  0.11680889]
37,[-0.00621432  0.11042773  1.        ],[0.3862989  0.31971896 1.5655534 ],[-0.24965666  0.5654213   1.4420526 ],[-0.03617847  0.16529089  1.7371378 ],[0.10004136 0.04374313 0.11336529],[-0.03148864  0.09661411  0.11602539]
38,[-0.00440967  0.1128789   1.        ],[0.38807812 0.32745752 1.5631781 ],[-0.2423853   0.56052077  1.4418321 ],[-0.03437502  0.17053452  1.7363145 ],[0.10765271 0.05165026 0.11915231],[-0.02365941  0.10029063  0.1196931 ]
39,[-0.00235879  0.11528715  1.        ],[0.38331914 0.3375875  1.5566258 ],[-0.23129077  0.5597595   1.4400727 ],[-0.03503247  0.16791596  1.735484  ],[0.11143317 0.05154826 0.11807036],[-0.02024228  0.10133233  0.1193862 ]
40,[-5.84289519e-05  1.17663644e-01  1.00000000e+00],[0.3811433  0.33858868 1.5574116 ],[-0.23334567  0.568135    1.4287618 ],[-0.03782481  0.16715679  1.7345303 ],[0.1197071  0.0555484  0.11722088],[-0.01441569  0.10052081  0.11842799]
41,[0.00249464 0.12001956 1.        ],[0.38475353 0.33833957 1.5568173 ],[-0.23081371  0.56616676  1.4277905 ],[-0.03816257  0.17067695  1.7342503 ],[0.12583555 0.06501139 0.12002659],[-0.00889711  0.09828437  0.11949551]
42,[0.00530365 0.12236606 1.        ],[0.38829646 0.34087852 1.5550544 ],[-0.22483042  0.566691    1.4291344 ],[-0.03476428  0.17381077  1.7346598 ],[0.13523528 0.07557885 0.12353516],[-0.00126081  0.10531251  0.12151408]
43,[0.00837185 0.12471429 1.        ],[0.38511246 0.33917263 1.5501602 ],[-0.22029348  0.5731087   1.4235717 ],[-0.03277869  0.17643479  1.7322978 ],[0.1443184  0.08065537 0.12688696],[0.00512911 0.10837284 0.12210107]
44,[0.01170246 0.12707543 1.        ],[0.3879753 0.3210994 1.5505404],[-0.22097884  0.5828443   1.4138986 ],[-0.02947939  0.18217319  1.7299044 ],[0.15827826 0.09372925 0.13196814],[0.01419963 0.1229391  0.12390089]
45,[0.01529872 0.12946063 1.        ],[0.3968102  0.33179462 1.5386264 ],[-0.21708497  0.5950645   1.4070566 ],[-0.02396392  0.18785107  1.7293789 ],[0.16909595 0.10174739 0.13123357],[0.02066808 0.13088673 0.12215054]
46,[0.01916387 0.13188107 1.        ],[0.40135667 0.33311376 1.5338422 ],[-0.21942836  0.6034971   1.3938279 ],[-0.01765112  0.19547732  1.7285392 ],[0.18200801 0.11822613 0.13072741],[0.02810666 0.13795526 0.11908555]
47,[0.02330114 0.13434792 1.        ],[0.40252954 0.3249333  1.5325861 ],[-0.21355207  0.60843843  1.3943957 ],[-0.01362849  0.19778055  1.7281682 ],[0.19105886 0.12057096 0.13081574],[0.03003483 0.14126301 0.1189034 ]
48,[0.02771376 0.1368723  1.        ],[0.4060539  0.32048938 1.530535  ],[-0.21513818  0.60576725  1.3936174 ],[-0.01063074  0.19910903  1.7269484 ],[0.20087704 0.11846264 0.12541878],[0.03193204 0.13926835 0.11481935]
